epoch,virtual_year,trajectory_index,selected_reference_index,is_correct_place_match,false_place_match,environment_change_score,structural_change_score,appearance_change_score,detected_keypoint_count,raw_match_count,ransac_inlier_count,inlier_ratio,reprojection_rmse
Year2,2,0,-1,False,False,0.1557,0.252,0.10400000000000001,16,1,0,0.0,nan
Year2,2,1,-1,False,False,0.1557,0.252,0.10400000000000001,6,1,0,0.0,nan
Year2,2,2,-1,False,False,0.1557,0.252,0.10400000000000001,3,0,0,0.0,nan
Year5,5,0,-1,False,False,0.52169,0.46799999999999997,0.5547,45,2,0,0.0,nan
Year5,5,1,-1,False,False,0.52169,0.46799999999999997,0.5547,15,0,0,0.0,nan
Year5,5,2,-1,False,False,0.52169,0.46799999999999997,0.5547,0,0,0,0.0,nan
Year10,10,0,-1,False,False,0.9440000000000001,0.96,0.93,69,1,0,0.0,nan
Year10,10,1,-1,False,False,0.9440000000000001,0.96,0.93,20,0,0,0.0,nan
Year10,10,2,-1,False,False,0.9440000000000001,0.96,0.93,42,1,0,0.0,nan
CaseAppearance,6,0,-1,False,False,0.5940000000000001,0.0,0.8400000000000001,25,1,0,0.0,nan
CaseAppearance,6,1,-1,False,False,0.5940000000000001,0.0,0.8400000000000001,4,0,0,0.0,nan
CaseAppearance,6,2,-1,False,False,0.5940000000000001,0.0,0.8400000000000001,36,1,0,0.0,nan
CaseStructural,6,0,-1,False,False,0.582,1.0,0.38,24,2,0,0.0,nan
CaseStructural,6,1,-1,False,False,0.582,1.0,0.38,19,0,0,0.0,nan
CaseStructural,6,2,-1,False,False,0.582,1.0,0.38,9,0,0,0.0,nan
